line,speaker,line_num,date
"We have a lot of work in order to follow-up on these alarming disclosures. Mr. Attorney General, your testimony today is an opportunity to begin the process of asking those questions. For instance again, I know others will ask about this: You recused yourself from the Russia investigation and participated in the firing over the handling of that same investigation. We want to ask how you view your recusal and whether you believe you complied fully. We heard from Mr. Comey that the president asked to you leave the Oval Office so he could speak one-on-one with Mr. Comey. Again, a very concerning action. We will need to hear from you about how you viewed the president's request and whether you thought it was appropriate. We also want to know if you are aware of any attempts by the president to enlist leaders in the intelligence community to undermine this same Russia investigation.",WARNER,14,2017-06-13
"Most importantly, our committee will want to hear what you are doing to ensure that the Russians or any other foreign adversaries cannot attack our democratic process like this ever again. I'm concerned that the president still does not recognize the severity of the threat. He, to date, has not acknowledged the conclusions of the intelligence community that Russia massively intervened in our elections. The threat we face is real. It's not limited to us. The recent effects in France gives us a stark reminder that all western democracies must take steps to protect themselves. The United States can and must be a leader in this effort, but it will require the administration to get serious about this. Finally, we have seen a concerning pattern of administration officials refusing to answer public, unclassified questions about allegations about the president in this investigation. We had a hearing with this subject last week. I want to commend the chairman who at the end of that hearing made clear that our witnesses, it was not acceptable for them to come forward without answers. The the American people deserve to hear what's going on here. Thank you Mr. Chairman, I look forward to the witness’ testimony.",WARNER,15,2017-06-13
" Thank you very much, Chairman Burr and ranking member Warner for allowing me to publicly appear before your committee today. I appreciate the committee's critically important efforts to investigate Russian interference with our democratic processes.",SESSIONS,16,2017-06-13
"Such interference can never be tolerated and I encourage every effort to get to the bottom of any such allegations. As you know, the Deputy Attorney General has appointed a special counsel to investigate the matters related to the Russian interference in the 2016 election. I'm here today to address several issues that have been specifically raised before this committee. And I appreciate the opportunity to respond to questions as fully as the Lord enables me to do so. As I advise you, Mr. Chairman, with long standing Department of Justice practice, I cannot and will not violate my duty to protect confidential communications I have with the president. Let me address issues directly. I did not have any private meetings, nor do I recall any conversations, with any Russian officials at the Mayflower hotel.",SESSIONS,17,2017-06-13
"I did not attend any meetings separately prior to the speech attended by the president today. I attended a reception with my staff, that included at least two dozen people and President Trump, though I do recall several conversations I had during that pre-speech reception, and I do not have recollection of meeting or talking to the Russian ambassador or any other Russian officials. If any brief interaction occurred in passing with the Russian ambassador in that reception, I do not remember it. After the speech, I was interviewed by the news media. There was an area for that in a different room and then I left the hotel. Whether I attended a reception where the Russian ambassador was also present is entirely beside the point of this investigation into Russian interference in the 2016 campaign.",SESSIONS,18,2017-06-13
"Let me state this clearly, colleagues. I have never met with or had any conversation with any Russians or any foreign officials concerning any type of interference with any campaign or election in the United States. Further, I have no knowledge of any such conversations by anyone connected to the Trump campaign. I was your colleague in this body for 20 years, at least some of you. And the suggestion that I participated in any collusion that I was aware of, any collusion with the Russian government to hurt this country which I have served with honor for 35 years, or to undermine the integrity of our democratic process an appalling and detestable lie. Relatedly, there is the assertion that I did not answer Senator Franken's question honestly in my confirmation hearing.",SESSIONS,19,2017-06-13
"Colleagues, that is false. I can't say colleagues now. I'm no longer a part of this body, but a former colleague. That is false. This is what happened. Senator Franken asked me a rambling question after some six hours of testimony that included dramatic new allegations that the United States intelligence community, the U.S. intelligence community had advised President-elect Trump ""That there was a continuing exchange of information during the campaign between Trump's surrogates and intermediaries for the Russian government."" I was taken aback by that explosive allegation which he said was being reported as breaking news that very day, in which I had not heard. I wanted to refute that immediately. Any suggestion that I was part of such an activity.",SESSIONS,20,2017-06-13
"I replied to Senator Franken this way. ""Senator Franken, I'm not aware of any of those activities. I have been called a surrogate a time or two in that campaign and I did not have communications with the Russians and I'm unable to comment on it.""",SESSIONS,21,2017-06-13
That was the context in which I was asked the question and in this that context my answer was a fair and correct response to the charge as I understood it. I was responding to the allegation That surrogates had been meeting with Russians on a regular basis. It simply did not occur to me to go further than the context and to list any conversations that I may have had with Russians in routine situations as I had many routine meetings with other foreign officials.,SESSIONS,22,2017-06-13
"So please hear me now. It was only in March, after my confirmation hearing, that a reporter asked my spokesperson whether I had ever met with any Russian officials. This was a first time that question had squarely been posed to me. On the same day, we provided that reporter with the information related to the meeting that I and my staff held in my Senate office with Ambassador Kislyak as well as the brief encounter in July after a speech that I had given during the convention in Cleveland, Ohio.",SESSIONS,23,2017-06-13
"I also provided the reporter with a list of 25 foreign ambassador meetings that I had had during 2016. In addition, I provided supplemental testimony to the Senate Judiciary Committee to explain this event. So I readily acknowledged these two meetings and certainly not one thing happened that was improper in any one of those meetings. Let me also explain clearly the circumstances of my recusal from the investigation into the Russian interference with the 2016 election. Please, colleagues, hear me on this. I was sworn in as Attorney General on Thursday, February 9th. The very next day as I had promised to the judiciary committee I would do at least at an early date, I met with the career department officials including a senior ethics official to discuss things publicly reported in the press that might have some bearing on whether or not I should recuse myself in this case. From that point, February 10th until I announced my formal recusal on March 2nd, I was never briefed on any investigative details, did not access any information about the investigation. I received only the limited information that the department's career officials determined was necessary for me to form and make a recusal decision.",SESSIONS,24,2017-06-13
"As such, I have no knowledge about this investigation as it is ongoing today beyond what has been reported. I don't even read that carefully. I have taken no action whatsoever with regard to any such investigation. On the date of my formal recusal, my chief of staff sent an e-mail to the heads of relevant departments including by name to director Comey of the FBI to instruct them to inform their staffs of this recusal and advise them not to brief me or involve me in any way in any such matters. In fact they have not. Importantly I recuse myself not because of any asserted wrongdoing or any that I may have been involved in any wrongdoing in the campaign, but because a Department of Justice regulation. 28 cfr 45.2 I felt required it.",SESSIONS,25,2017-06-13
"That regulation states in effect that department employees should not participate in investigations of a campaign if they served as a campaign adviser. So the scope of my recusal however does not and cannot interfere with my ability to oversee the Department of Justice, including the FBI which has an $8 billion budget and 35,000 employees. I presented to the president my concerns and those of Deputy Attorney General Rod Rosenstein about the ongoing leadership issues at the FBI as stated in my letter recommending the removal of Mr. Comey along with the Deputy Attorney General's memorandum on that issue, which have been released by the White House. Those represent a clear statement of my views. I adopted Deputy Attorney General Rosenstein's points he made in his memorandum and made my recommendation. It is absurd, frankly, to suggest that a recusal from a single specific investigation would render the attorney general unable to manage the leadership of the various department of justice law enforcement components that conduct thousands of investigations.",SESSIONS,26,2017-06-13
"Finally, during his testimony, Mr. Comey discussed a conversation he had with the president. I'm happy to share with the committee my recollection of that conversation that I had with Mr. Comey. Following a routine morning threat briefing, Mr. Comey spoke to me and my chief of staff. While he did not provide me with any of the substance of his conversation with the president, apparently the day before, Mr. Comey expressed concern about proper communications protocol with the white house and with the president.",SESSIONS,27,2017-06-13
"I responded. He didn't recall this, but I responded to his comment by agreeing that the FBI and the department of justice needed to be careful to follow department policies regarding appropriate contacts with the white house. Mr. Comey had served in the department for better than two decades and I was confident he understood and would abide by the well established rules limiting communications with the White House, especially about ongoing investigations.",SESSIONS,28,2017-06-13
"That's what is so important to control. My comments encouraged him to do just that and indeed as I understand it, he in fact did that. Our Department of Justice rules on proper communications between the department and the White House have been in place for years. Mr. Comey well knew them. I thought and assumed correctly that he complied with them. I will finish with this. I recuse myself from any investigation into the campaign for president, but I did not recuse myself from defending my honor against false allegations.",SESSIONS,29,2017-06-13
"At all times throughout the course of the campaign, the confirmation process, and since becoming Attorney General, I have dedicated myself to the highest standards. I have earned a reputation for that. At home and in this body, I believe. Over decades of performance. The people of this country expect an honest and transparent government and that's what we are giving them. This president wants to focus on the people of this country to ensure they are treated fairly and kept safe. The trump agenda is to improve the lives of the American people.",SESSIONS,30,2017-06-13
"I know some have different ways of achieving that and different agendas, but that is his agenda and one I share. Importantly as attorney general, I have a responsibility to enforce the laws of this nation to protect this country from its enemies and I intend to work every day with the fine team and the superb professionals in the department of justice to advance the important work we have to do. These false attacks and innuendos and the leaks, you can be sure will not intimidate me. These events have only strengthened my resolve to fulfill my duty. My duty to reduce crime and support the federal, state, and local law enforcement who work on the streets every day.",SESSIONS,31,2017-06-13
"Just last week it was reported that overdosed deaths in this country are rising faster than ever recorded. Last year was 52,000 and The New York Times just estimated next year will be 62,000 overdose deaths. The murdis up over 10%. Together we are telling the gangs and cartels and the fraudsters and the terrorists we are coming after you.",SESSIONS,32,2017-06-13
"Every one of our citizens no matter who they are or where they live has the right to be safe in their homes and communities. I will not be deter and allow this great department to be deterred from its vital mission. Thank you, Mr. Chairman and ranking member Warner. I have a great honor to appear before you today and will do my best to answer your questions.",SESSIONS,33,2017-06-13
" General Sessions, thank you for that testimony. I would like to note for members, the chair and the vice chairman will be recognized for 10 minutes and members for five minutes. I would like to remind our members that we are in open session. No references to classified or committee-sensitive materials should be used relative to your questions. With that I recognize myself at this time for 10 minutes.",BURR,34,2017-06-13
"General Sessions, you talked about the Mayflower hotel where the president gave his first foreign policy speech. It has been covered in the press that the president was there and you were there and others were there. From your testimony, you said you don't remember whether the ambassador from Russia was there.",BURR,35,2017-06-13
" I did not remember that, but I understand he was there. So I don't doubt that he was. I believe that representations are correct. I recently saw a video of him coming into the room.",SESSIONS,36,2017-06-13
 You never remember having a conversation or meeting with the ambassador?,BURR,37,2017-06-13
 I do not.,SESSIONS,38,2017-06-13
 Was there ever a private room setting that you were involved in?,BURR,39,2017-06-13
" No, other than the reception area that was shut off from I guess the main crowd. Two to three dozen people.",SESSIONS,40,2017-06-13
 I would take for granted that the president shook some hands.,BURR,41,2017-06-13
 He came in and shook hands in the group.,SESSIONS,42,2017-06-13
 Okay. You mentioned that there were staff with you at that event.,BURR,43,2017-06-13
 My legislative director at the time --,SESSIONS,44,2017-06-13
 Your Senate staff?,BURR,45,2017-06-13
" Senate legislative director who was a retired U.S. Army colonel, had served on the armed services staff with Senator John Warner before she joined my staff was with me in the reception area and throughout the rest of the events.",SESSIONS,46,2017-06-13
 Would you say you were there as a United States Senator or as a surrogate of the campaign for this event?,BURR,47,2017-06-13
 I came there as an interested person and very anxious to see how President Trump would do in his first major foreign policy address. I believe he had only given one major speech before and that was maybe at the Jewish event.,SESSIONS,48,2017-06-13
It was an interesting time for me to observe his delivery and the message he would make. That was my main purpose of being there.,SESSIONS,49,2017-06-13
" You reported two other meetings with the ambassador, one in July on the sidelines of the Republican convention, I believe and one in September in your senate office. Have you had any other interactions with government officials over the year in a campaign capacity? I'm not asking you from the standpoint of your single life, but in the campaign.",BURR,50,2017-06-13
" No, Mr. Chairman. No. I've racked my brain to make sure I could answer those questions correctly and I did not. I would just offer for you that the -- when asked about whether I had any meetings with Russians by the reporter in March, we immediately recalled the conversation and the encounter I had at the convention and the meeting in my office and made that public. I never intended not to include that. I would have gladly have reported the meeting and encounter that may have occurred and some say occurred in the Mayflower if I had remembered it or if it actually occurred, which I don't remember that it did.",SESSIONS,51,2017-06-13
" On March 2nd, 2017, you recused yourself in the investigation being conducted by the FBI and the Department of Justice. What are the specific reasons that you chose to recuse yourself?",BURR,52,2017-06-13
" The specific reason, chairman, is a cfr code of federal regulations put out by the Department of Justice. Part of the Department of Justice rules and it says this. I will read from it. 28 cfr 45.2. Unless authorized, no employee shall participate in a criminal investigation or prosecution if he had a personal or political relationship with any person involved in the conduct of an investigation that goes on to say for political campaign and it says if you have a close identification with an elected official or candidate arising from service as a principal adviser, you should not participate in an investigation of that campaign. Many have suggested that my recusal is because I felt I was a subject of the investigation myself, I may have done something wrong. This is the reason I recused myself: I felt I was required to under the rules of the Department of Justice and as a leader of the Department of Justice, I should comply with the rules obviously.",SESSIONS,53,2017-06-13
 Did your legal counsel know from day one you would have to recuse yourself because of the current statute?,BURR,54,2017-06-13
" I have a timeline of what occurred. I was sworn in on the 9th, I believe, of February. I then on the 10th had my first meeting to generally discuss this issue where the cfr was not discussed. We had several other meetings and it became clear to me over time that I qualified as a significant, principal adviser-type person to the campaign and it was the appropriate and right thing for me.",SESSIONS,55,2017-06-13
 This could explain Director Comey's comments that he knew there was a likelihood you would recuse yourself because he was familiar with the same statute?,BURR,56,2017-06-13
" Probably so. I'm sure that the attorneys in the Department of Justice probably communicated with him. Mr. Chairman, let me say this to you clearly. In effect as a matter of fact, I recused myself that day. I never received any information about the campaign. I thought there was a problem with me being able to serve as attorney general over this issue and I felt I would have to recuse myself and I took the position correctly, I believe, not to involve myself in the campaign in any way and I did not.",SESSIONS,57,2017-06-13
 You made a reference to the chief of staff sending out an e-mail immediately notifying internationally of your decision to recuse. Would you ask the staff to make that e-mail available?,BURR,58,2017-06-13
 We would be pleased to do so and I have it with me now.,SESSIONS,59,2017-06-13
 Thank you. Have you had intersections with the special counsel Robert muller?,BURR,60,2017-06-13
" I have not. With regard to the e-mail we sent out, director Comey indicated that he did not know when I recused myself or receive notice, one of them went to him by name. A lot happens in our offices. I'm not accusing him of wrongdoing and it was sent to him and to his name.",SESSIONS,61,2017-06-13
" Okay. General Sessions, you said he testified about his interactions with the president in some cases highlighting your presence with the meetings. You addressed the meeting where all were asked to leave except for director Comey. You said he did inform you of how uncomfortable that was. Your recommendation was that the FBI and DOJ needed to follow the rules limning further correspondence. Did Director Comey express additional discomfort with conversations that the president might have had with him? He had two additional meetings and a total of six phone calls.",BURR,62,2017-06-13
 That is correct. There is nothing wrong with the president having communication with the FBI director. What is problematic for any Department of Justice employee is to talk to any cabinet persons or White House officials about ongoing investigations that are not properly cleared through the top levels of the Department of Justice. So it was a regulation I think is healthy. I thought we needed and strongly believe we need to restore discipline to adhere to just those kinds of rules and leaking rules and some of the other things that I think are a bit lax and need to be restored.,SESSIONS,63,2017-06-13
 You couldn't have had a conversation with the president about the investigation because you were never briefed on some.,BURR,64,2017-06-13
" That is correct. I would note that with regard to the private meeting that Director Comey had by his own admission, I believe, as many as six such meetings. Several them he had with President Trump. I think two with President Obama. It's not improper, per se, but it would not be proper to share information without review and permission.",SESSIONS,65,2017-06-13
" Just one last question. You were the chair of this foreign policy team for the Trump campaign. To the best of your knowledge, did that team ever meet?",BURR,66,2017-06-13
 We met a couple of times. Maybe a couple of people did. We never functioned as a coherent team.,SESSIONS,67,2017-06-13
 Were there any members you never met?,BURR,68,2017-06-13
 Yes.,SESSIONS,69,2017-06-13
 Okay. Vice chairman.,BURR,70,2017-06-13
" Thank you, General Sessions. As I mentioned in my opening statement, we appreciate your appearance, but see this as the first step and I would like to get your commitment that you will agree to make yourself available as the committee needs in the weeks and months ahead.",WARNER,71,2017-06-13
" Senator, I will commit to appear before the committees and others as appropriate. I don't think it's good policy to continually bring cabinet members or the attorney general before multiple committees going over the same things over and over.",SESSIONS,72,2017-06-13
 Appropriations committee raised that issue.,WARNER,73,2017-06-13
 I just gave you my answer.,SESSIONS,74,2017-06-13
" Can we get your commitment since there will be questions about the meetings that took place or not, access to documents or memoranda or your day book or something?",WARNER,75,2017-06-13
 We will be glad to provide appropriate responses to your questions and review them carefully.,SESSIONS,76,2017-06-13
 Yesterday a friend of the president was reported to suggesting that President Trump was considering removing Director Mueller as special counsel. Do you have confidence in director Mueller's ability to conduct the investigation fairly and impartially?,WARNER,77,2017-06-13
 I don't know about the reports and have no basis to --,SESSIONS,78,2017-06-13
 I'm asking --,WARNER,79,2017-06-13
 The validity. I have known Mr. Mueller over the years and he served 12 years as FBI director. I knew him before that. I have confidence in Mr. Mueller.,SESSIONS,80,2017-06-13
 You have confidence he will do the job?,WARNER,81,2017-06-13
 I will not discuss hypotheticals or what might be a factual situation in the future that I'm not aware of today. I know nothing about the investigation. I fully recuse myself.,SESSIONS,82,2017-06-13
" I have a series of questions, sir. Do you believe the president has confidence?",WARNER,83,2017-06-13
 I have not talked to him about it.,SESSIONS,84,2017-06-13
 Will you commit to the committee not to take personal actions that might not result in director Mueller's firing or dismissal?,WARNER,85,2017-06-13
" I can say that with confidence. In fact the way it works, Senator Warner is that the acting attorney general.",SESSIONS,86,2017-06-13
" I'm aware, but I wanted to get you on the record.",WARNER,87,2017-06-13
 Deputy attorney general. --,SESSIONS,88,2017-06-13
 You would not take any actions to have the special investigator removed.,WARNER,89,2017-06-13
 I don't think that's appropriate for me to do.,SESSIONS,90,2017-06-13
" To your knowledge, have any Department of Justice officials been involved with conversations about any possibility of presidential pardons about any of the individuals involved with the Russia investigation?",WARNER,91,2017-06-13
" Mr. Chairman, I'm not able to comment on conversations with high officials within the white house. That would be a violation of the communications rule that I have to --",SESSIONS,92,2017-06-13
" Just so I can understand, is the basis of that unwilling to answer based on executive privilege?",WARNER,93,2017-06-13
 It's a long standing policy. The department of justice not to comment on conversations that the attorney general had with the president of the united States for confidential reasons that rounded in the coequal branch.,SESSIONS,94,2017-06-13
" Just so I understand, is that mean you claim executive privilege?",WARNER,95,2017-06-13
 I'm not claiming executive privilege because that's the president's power and I have no power there.,SESSIONS,96,2017-06-13
" What about conversations with other Department of Justice or White House officials about potential pardons? Not the president, sir.",WARNER,97,2017-06-13
" Without in any way suggesting I had any conversations concerning pardons, totally apart from that, there are privileges of communication within the department of justice that we share all of us do. We have a right to have full and robust debate within the Department of Justice and encourage people to speak up and argue cases on different sides. Those arguments are not -- historically we have seen they shouldn't be revealed.",SESSIONS,98,2017-06-13
" I hope you agree since you recused yourself that if the president or others would pardon someone during the midst of this investigation while our investigation or Mr. Mueller's investigation, that would be problematic. One of the comments you made in your testimony is you reached a conclusion about then-Director Comey's ability to lead the FBI and you agreed with Deputy Attorney General Rosenstein's memo. The fact that you worked with Comey for sometime, did you ever have a conversation as a superior of Director Comey with his failure to perform or some of these accusations that he was not running in a good way and somehow the FBI is in turmoil. Did you have any conversations about the subjects?",WARNER,99,2017-06-13
 I did not.,SESSIONS,100,2017-06-13
 So you were his superior and there were fairly harsh things said about Director Comey. You never thought it was appropriate to raise those concerns before he was absolutely terminated by the president?,WARNER,101,2017-06-13
 I did not do so. A memorandum was prepared by the deputy attorney general who evaluated his performance and noted serious problems with it.,SESSIONS,102,2017-06-13
 You agreed with those?,WARNER,103,2017-06-13
" I agreed with those. In fact senator Warner, we talked about it before I was confirmed and before he was confirmed. It's something we both agreed to that a fresh start at the FBI was probably the best thing.",SESSIONS,104,2017-06-13
" It again seems a little -- I understand if you talk about that before you came on and had a chance for a fresh start. There was no fresh start. Suddenly we are in the midst of the investigation and with timing it seems peculiar that what was out of the blue he fires the FBI director and all the problems of disarray and a lack of the accord with the FBI that he denied is the case, I would think that somebody would have had that conversation. Let's go to the April 27th meeting. It is brought up and I think the chairman brought it up. By that time, you had been named as the chair of then-candidate Trump's advisory. Showing up, that meeting would be appropriate.",WARNER,105,2017-06-13
 That was the Mayflower hotel?,SESSIONS,106,2017-06-13
" Yes, sir. My understanding was that the president's son in law Jared Kushner was at that meeting as well.",WARNER,107,2017-06-13
" I believe he was, yes.",SESSIONS,108,2017-06-13
 You don't reccollect when he had the conversations with the ambassador?,WARNER,109,2017-06-13
 I do not.,SESSIONS,110,2017-06-13
 To the best of your memory you had no conversation with him at that meet something.,WARNER,111,2017-06-13
" I don't recall that, senator. Certainly I can assure you nothing improper if I had a conversation with him. It's conceivable, but I don't remember it.",SESSIONS,112,2017-06-13
" There was nothing in your notes or memory so when you had a chance and you did correct the record about the other two sessions in response to senator Franken and Leahy, this didn't pop into your memory with the caution you had to report that this session as well.",WARNER,113,2017-06-13
" I guess I can say that I possibly had a meeting, but I still do not recall it. I did not in any way fail to record something in my testimony or in my subsequent letter intentionally false.",SESSIONS,114,2017-06-13
" I understand. I'm trying to understand you corrected the record and clearly by the time you get a chance to correct the record, you would have known that the ambassador was at that April 27th session. It received quite a bit of press notoriety. And again, echoing what the chairman said, again for the record, there was no other meeting with any other officials of the Russian government in the campaign season.",WARNER,115,2017-06-13
" Not to my recollection. I would say with regard to the two encounters, one at the Mayflower hotel that you refer to, I came here not knowing he was going to be there. I didn't have any communications with him before or after that event. Likewise at the effect at the convention went off the convention grounds to a college campus for an event.",SESSIONS,116,2017-06-13
 At the Mayflower --,WARNER,117,2017-06-13
 Let me follow-up on that one. I didn't know he would be in the audience.,SESSIONS,118,2017-06-13
 At the Mayflower there was this vip reception first and people went into the speech. Just so I get a --,WARNER,119,2017-06-13
 That's my recollection.,SESSIONS,120,2017-06-13
 You were part of the vip reception?,WARNER,121,2017-06-13
 Yes.,SESSIONS,122,2017-06-13
" General Sessions, one of the troubling things that I need to sort through is Mr. Comey's testimony last week is he felt uncomfortable when the president asked everyone else to leave the room. He left the impression that you lingered with perhaps the sense that you felt uncomfortable with it as well. I will allow you to correct it if it's not right. After this meeting took place, which clearly director Comey felt had a level of uncomfortableness. You never asked him what took place in that meeting?",WARNER,123,2017-06-13
" I will say it this way. We were there and I was standing there and without revealing any conversation that took place, what I recall is that I did depart and I believe everyone else did depart and Director Comey was sitting in front of the president's desk and they were talking. I believe it was the next day that he said something and expressed concern about being left alone with the president.",SESSIONS,124,2017-06-13
That in itself is not problematic. He did not tell me at that time any details about anything that was said that was improper. I affirmed his concern that we should be following the proper guidelines of the Department of Justice and basically backed him up in his concerns. He should not carry on any conversation with the president or anyone else about an investigation in a way that was not proper.,SESSIONS,125,2017-06-13
"I felt he so long in the want it, the former deputy attorney general knew the policy a good deal better than I did.",SESSIONS,126,2017-06-13
 Thank you. It did appear that Mr. Comey felt that the conversation was improper.,WARNER,127,2017-06-13
 He was concerned about it. His recollection of what he said to me about his concern is consistent with my recollection.,SESSIONS,128,2017-06-13
 Senator?,BURR,129,2017-06-13
"SEN. JIM  Attorney General Sessions, good to hear you talk about how important this Russian interference and active measures on the campaign is. I don't think there is any American who would disagree with the fact this we need to drill down to this, know what happened, get it out in front of the American people and do what we can to stop it again. That's what the committee was charged to do and started to do. As you know on February 14th, The New York Times published an article alleging that there were constant communications between the Trump campaign and the Russians in collusion regarding the elections. Do you recall that article when it came out?",RISCH,130,2017-06-13
 Not exactly.,SESSIONS,131,2017-06-13
 Generally?,RISCH,132,2017-06-13
 Generally I remember the charges.,SESSIONS,133,2017-06-13
" Mr. Comey told us when he was here last week, he had a specific recollection. He chased it down through the intelligence community and was not able to find that evidence and then sought out both Republicans and Democrats to tell them that this was false and there was no such facts anywhere. Nonetheless, after that, this committee took that on as a thing we have spent really substantially more time on the Russian active measures. We have been through thousands of pages of information, interviewed witnesses and everything else who were no different than where we were when this thing started. There is no reports they know of of any factual information. Are you aware of any such information?",RISCH,134,2017-06-13
 Is that from the dossier or so-called dossier? I believe that's the report that Senator Franken hit me with when I was testifying--I think it’s been pretty substantially discredited but you would know more than I. But what was said that would suggest I participated in the continuing communications with Russians as a surrogate is absolutely false?,SESSIONS,135,2017-06-13
" Mr. Sessions, there has been all this talk about conversations and you had conversations with the Russians. Senators up here who were on foreign relations and intelligence or armed services, conversations with officers of other governments or ambassadors or what you are everyday occurrences here, multiple time occurrences for most of us. Is that a fair statement?",RISCH,136,2017-06-13
" I think it is, yes.",SESSIONS,137,2017-06-13
 Indeed you run into one in the grocery store. Is that fair?,RISCH,138,2017-06-13
